poste,lieu,entreprise,salaire,note,description
ALTERNANCE BAC+3 Lattes Responsable rayon sportif (H/F),Lattes,Win Sport School Montpellier,Non renseigné,"4,7","Contrôler et veiller à la mise en rayon conformément aux normes de merchandising. Mettre en œuvre les plans d’action pour atteindre les objectifs commerciaux…&hellip;
Compétences: Vente, Service client, Encaissement, Gestion d'équipe, Vente au détail"
Directeur(trice) de Magasin Outlet Corbeil Essonnes,Corbeil-Essonnes,Maisons du Monde,Non renseigné,"3,4","Durable, car engagés dans des causes environnementales et citoyennes, nous prônons l'égalité des chances et le développement de chacun à l'ouverture au monde.&hellip;
Compétences: Service client, Gestion de point de vente, Gestion de vente au détail"
Formateur FLE,Rouen,Poly-Langues,"20,00 € - 30,00 € Par heure (fourni par l’employeur)","1,0","Collaborer avec l'équipe pour améliorer continuellement les programmes de formation. Nous recherchons un Formateur FLE pour rejoindre notre équipe.&hellip;
Compétences: Français, Enseignement"
CDI – Ingénieur examens métallographiques / MEB - H/F,Nantes,Naval Group,Non renseigné,"4,0","Nous sommes un acteur international dans l'industrie navale de défense depuis plus de 400 ans, repoussant continuellement les limites pour construire l'avenir.&hellip;
Compétences: Sens de l'organisation"
ANIMATEUR COSMETIQUE H/F,Montesson,DMF,Non renseigné,"3,4","Offrir une expérience client exceptionnelle : accueillir chaleureusement les clients, les conseiller avec expertise et garantir leur satisfaction.&hellip;"
Jardinier (H/F),Tigeaux,La tige verte Paysagiste,2 k € (fourni par l’employeur),Non noté,"Permis B exigé et permis EB si possible (Requis). Contrat en CDD suivis d'un CDI. Type d'emploi : Temps plein, CDI.&hellip;"
ADMINISTRATIVE ASSISTANT,Paris,United Nations,Non renseigné,"4,0","A minimum of five years’ experience in human resources and or administrative services is required. The minimum years of relevant experience is reduced to three…&hellip;
Compétences: Microsoft Powerpoint, Microsoft Word, Français, Microsoft Excel, Anglais"
ÉLECTROTECHNICIEN H/F,Marseille,Armée de l'Air et de l'Espace,2 k € - 3 k € (fourni par l’employeur),"4,1","Vous aurez deux formations, une première de 15 semaines à l'EFSOAA, l'Ecole de Formation des Sous-Officiers de l'Armée de l'Air et de l'Espace à Rochefort,…&hellip;
Compétences: Maçonnerie, Plomberie"
Alternance – Social Media Manager (H/F),Lille,Nexa Digital School,22 k € - 26 k € (fourni par l’employeur),Non noté,"Intérêt marqué pour l’univers de la gastronomie et du luxe. Une entreprise spécialisée dans la création de contenu social media et le community management pour…&hellip;
Compétences: Adobe Photoshop, Gestion des réseaux sociaux, Conception graphique, Marketing digital, Adobe Premiere"
Chauffeur SPL H/F EN REGIONAL - LA ROCHE SUR YON,Saint-Julien,THEBAULT LOGISTIQUE,"12,43 € Par heure (fourni par l’employeur)",Non noté,"Assurer les livraisons et les ramasses chez nos clients + activité inter-sites chez notre client à la Roche sur Yon.&hellip;
Compétences: Mécanique automobile, Conduite de camions, Chariot élévateur, Conduite de véhicule, Chargement et déchargement"
Adjoint H/F,Dijon,Games Factory,2 k € - 3 k € (fourni par l’employeur),Non noté,"Vous orchestrez le service avec fluidité, pilotez l’équipe avec bienveillance et veillez à ce que chaque client reparte avec le sourire.&hellip;
Compétences: Vente, Service client, Services aux visiteurs, Management en restauration"
CDI - Technicien de maintenance machines-outils H/F,Nantes,Naval Group,Non renseigné,"4,0","Au sein de l'équipe maintenance des équipements industriels composée d'une quinzaine de collaborateurs, vous aurez en charge la maintenance mécanique des…&hellip;
Compétences: Schémas, Expérience en mécanique, GMAO, Électricité"
Directeur des Soins (H/F),Grenoble,La Mut' - GHM de Grenoble,65 k € - 80 k € (fourni par l’employeur),"3,2","Piloter la déclinaison opérationnelle des projets institutionnels et porter la vision médico-soignante de l’établissement. Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Gestion des risques"
Employé polyvalent magasin BIOCOOP,Paris,BIOCOOP Catalogne,Non renseigné,Non noté,"La BIOCOOP Catalogne a pour projet de défendre les valeurs militantes de BIOCOOP (développement de l’agriculture biologique, transition sociétale) en proposant…&hellip;
Compétences: Vente, Service client, Gestion de la relation client, Sens de l'organisation, Stockage"
Housekeeper,Paris,Exclusive Household Cavalry,35 k € - 40 k € (fourni par l’employeur),Non noté,"Accommodation:* A charming two-bedroom cottage on-site is provided, fully equipped and ideal for someone with a partner.&hellip;
Compétences: Français"
DARTY APPRIEU -Vendeur/Vendeuse polyvalente (CDI) H/F Petit et Gros ménager/Multimé,Apprieu,DARTY APPRIEU,2 k € - 3 k € (fourni par l’employeur),"3,6","Darty est un commerce spécialisé dans l'électroménager, l'image et le multimédia. Vous assurez l'accueil, le conseil et la vente clients dans le cadre…&hellip;
Compétences: Français, Vente, Anglais"
PREPARATEUR DE COMMANDES H/F,Bobigny,L'Emotion,2 k € (fourni par l’employeur),Non noté,"Sens de l’organisation et attention aux détails. Nous recherchons un préparateur ou une préparatrice de commandes dynamique et rigoureux(se) pour rejoindre…&hellip;
Compétences: Français, Sens de l'organisation, Expérience en entrepôt, Manutention des matériaux, Préparation de commandes"
Chargé de Clientèle (H/F) - CDD,La Madeleine,HAPPYSITTERS,2 k € (fourni par l’employeur),"4,6","Happysitters est notée 4,8/5 par ses salariés. Flexibilité et sang froid pour faire face à tous types de situation. Prise en charge du transport quotidien.&hellip;
Compétences: Service client, Négociation"
Baby-sitter (H/F),Carquefou,En garde les enfants !,"11,65 € - 12,65 € Par heure (fourni par l’employeur)",Non noté,"Sens de l'organisation pour planifier les activités et les repas des enfants. Assurer la sécurité et le bien-être des enfants dont vous avez la charge.&hellip;
Compétences: Garde d'enfants, Expérience dans la petite enfance, Sens de l'organisation"
Alternance - Journaliste F/H,Paris,Universcience,Non renseigné,"3,7","Rédiger des brèves pour les espaces d’exposition et le site Internet ; Vous préparez un diplôme de niveau Master 1 ou 2 en journalisme.&hellip;
Compétences: Compétences rédactionnelles"
vendeur polyvalent H/F Temps plein CDI,Chessy,LEGO,Non renseigné,"4,4","Safely and efficiently operate the store stockroom as you assist in the receiving of merchandise, maintain the stockroom to LBR standards, know and abide by all…&hellip;"
Business developer éducation (F/H),Antibes,Oktogone Group,Non renseigné,"3,5",Oktogone Group est un acteur de référence de la formation et de l’emploi à l’ère du digital qui conjugue au travers de ses différentes marques un ensemble…&hellip;
Serveur/Serveuse polyvalent(e),Grospierres,Groupe Restoleil,2 k € (fourni par l’employeur),"4,5","Accueillir et installer les clients avec le sourire. Salaire de 1900 à 2000e net mensuel selon expérience. Servir les plats et boissons de manière efficace et…&hellip;
Compétences: Service, Service client"
Responsable de secteur Services à la personne en apprentissage H/F,Beaurainville,Toccata,Non renseigné,"3,6",*Financement de la formation pris en charge* par votre futur employeur avec des aides de l’État. Collaborer avec des partenaires pour optimiser la coordination…&hellip;
Shopper - Moissy-Cramayel,Moissy-Cramayel,Picnic,"12,05 € Par heure (fourni par l’employeur)","3,3",Travailler dans différentes zones de l’entrepôt : ambiante ou réfrigérée (nous te fournissons l’équipement nécessaire pour le froid). Tu as au moins 18 ans.&hellip;
CONDUCTEUR DE MACHINES H/F,Chemillé,Biscuits Bouvard,Non renseigné,"3,4","Conduire des machines sur une ligne de production (sandwichage biscuits ou conditionnement). Effectuer des réglages sur les différentes machines en fonction des…&hellip;
Compétences: Français"
ALTERNANCE Bac+4/5 Montpellier : Assistant chef de projet événementiel sportif (H/F),Montpellier,Win Sport School Montpellier,Non renseigné,"4,7","WIN Sport School Montpellier*, l’École de Management du Sport du groupe *Eduservices*, te propose une *alternance de 24 mois* en *MBA Management du Sport*, au…&hellip;
Compétences: Service client, Sens de l'organisation, Gestion du temps de travail"
Alternant Management de l'Hôtellerie_Restauration - H/F,Bayonne,Talis Bayonne,Non renseigné,"3,0","Propose des parcours diplômants et certifiants post Bac à Bac+5, dans les domaines du : Commerce et Management, Communication et Marketing, Administration et…&hellip;
Compétences: Français, Vente, Service client, Anglais, Services aux visiteurs"
Gestionnaire de stock F/H,Grenoble,Framatome,30 k € - 35 k € (fourni par l’employeur),"4,0","Les solutions offertes à ses clients vont des systèmes de contrôle-commande de sûreté aux systèmes de contrôle commande opérationnel, de l'instrumentation…&hellip;"
Chauffeur livreur poids lourd H/F,Hautefort,LIDIS,2 k € (fourni par l’employeur),Non noté,"Vos qualités relationnelles seront particulièrement appréciées pour représenter au mieux l'image de l'entreprise LIDIS chez nos clients.&hellip;
Compétences: Conduite de véhicule, Expérience de chauffeur-livreur, Chargement et déchargement"
Animateur polyvalent (H/F),Longeville-sur-Mer,MS Vacances Campings & Clubs,2 k € (fourni par l’employeur),"3,7","Êtes l’ambassadeur(trice) de l’esprit MS. Rejoignez-nous chez MS pour une saison exceptionnelle ! Patient(e) et vous avez un excellent relationnel.&hellip;
Compétences: Hôtellerie, Anglais"
Vendeur épicerie (H/F),Saint-Julien,BioFrais,Non renseigné,"3,3","Les bons produits, les produits de l’épicerie et le non-alimentaire, les produits bio,. Le conseil auprès des clients.&hellip;"
NAVIGATEUR H/F,Toulouse,Armée de l'Air et de l'Espace,2 k € (fourni par l’employeur),"4,1","45 jours de permission par an,75% de réduction sur les tarifs SNCF pour vous, et jusqu'à 50% pour votre conjoint et vos enfants,Une solde égale que vous soyez…&hellip;
Compétences: Anglais"
Emploi de Biostatisticien(ne) en France,Nantes,AMS Advanced Medical Services GmbH,Non renseigné,"3,4","Nos services en recherche clinique, pour les études de phases I à IV, ainsi que pour les études non interventionnelles comprennent la gestion de projet, le…&hellip;
Compétences: Français, Statistiques, SAS, Anglais, Production"
Planificateur.trice de la demande,Courbevoie,ENGIE,Non renseigné,"3,9","Effectuer une veille sur l’approvisionnement en matières indispensables aux activités ; Dans le cadre de la transition énergétique, nous accompagnons chaque…&hellip;
Compétences: Français, Power BI, Oracle, Approvisionnement, Compétences rédactionnelles"
Responsable Chantiers et Suivi Clients,Lespinasse,LOCACUISINES,50 k € - 60 k € (fourni par l’employeur),"1,0","Avec notre ambition de voyager plus loin, l’anglais et l’espagnol serait un plus. Assurer l’interface avec les différentes parties prenantes du projet d’ouvrage…&hellip;
Compétences: Espagnol, Service client, Anglais, Sens de l'organisation, Securité"
"Technicien Smartphone, Micro-Soudure",Boulogne-Billancourt,Cdm Boulogne,3 k € (fourni par l’employeur),Non noté,"Bonus si reparateur en Mac et PC. Prise en charge du transport quotidien. Technicien Smartphone et Carte Mère: 3 ans (Requis).&hellip;
Compétences: Expérience en mécanique, Service client, Électricité, Soudage, Maintenance industrielle"
Manager project office (H/F),Chartres,Novo Nordisk,Non renseigné,"4,2","Vous disposez d’un minimum de 5 ans d’expérience dans une fonction similaire et justifiez d’une expérience significative en management de projet sur des projets…&hellip;
Compétences: Anglais, Esprit d'analyse, Gestion de projet, Agile"
Business developer cybersecurity F/H,Bezons,Atos,Non renseigné,"3,5","Détecter et générer des nouvelles opportunités en cybersécurité. Gérer et intéragir avec les décideurs (DSI, RSSI, etc..) et fonctions opérationnelles…&hellip;"
Stagiaire Assistant(e) de gestion en résidence étudiante H/F,Marseille,Artemisia Gestion,"4,35 € Par heure (fourni par l’employeur)","4,0","Vous préparez un diplôme niveau Bac +2 ou plus. Vous êtes étudiant en gestion, immobilier ou commerce. Type d'emploi : Temps plein, Stage.&hellip;
Compétences: Service client, Microsoft Office, Expérience administrative, Sens de l'organisation, Secrétariat"
Coach sportif H/F,Bordeaux,Squaregym Bordeaux,2 k € (fourni par l’employeur),Non noté,"Vous avez un bon relationnel et l'habitude d'utiliser des outils comme Word et Excel. Nous recrutons un coach sportif polyvalent.&hellip;
Compétences: Anatomie, Vente, Enseignement"
Business Developer H/F,Annecy,MEDIASCORE FOODING,Non renseigné,Non noté,"Participation à hauteur de 50% de l’abonnement transport. Informer des évolutions du marché (changements d’enseignes, fermeture, etc.) et de l’offre…&hellip;
Compétences: Microsoft Office, Sens de l'organisation"
Ingénieur Territorial Energie Environnement (H/F),Montrouge,Mairie de Montrouge,Non renseigné,"3,3","Niveau minimum License ou ingénieur dans le domaine du BTP, de l’environnement et/ou de l’énergie. Suivre l’exécution des travaux en lien avec les entreprises,…&hellip;
Compétences: Traitement de texte, CVC, Lecture de plans, Bureautique"
CHAUFFEUR ROUTIER H/F,Dijon,Armée de l'Air et de l'Espace,Non renseigné,"4,1",La formation militaire se déroule pendant huit semaines au Centre de Préparation Opérationnelle du Combattant de l’Armée de l'air (CPOCAA) à Orange (Vaucluse).&hellip;
F&B Host (H/F),Archamps,Uxco Management,Non renseigné,"2,5","Vous êtes polyvalent, réactif et souriant, capable de créer une ambiance chaleureuse et dynamique. Une carte titres-restaurant SWILE, rechargée de 9€ par jour…&hellip;
Compétences: Anglais, Microsoft Office, Sens de l'organisation, Service de bar"
MÉTÉOROLOGISTE H/F,Lille,Armée de l'Air et de l'Espace,2 k € - 3 k € (fourni par l’employeur),"4,1","Vous aurez deux formations, une première de 15 semaines à l'EFSOAA, l'Ecole de Formation des Sous-Officiers de l'Armée de l'Air et de l'Espace à Rochefort,…&hellip;
Compétences: Anglais"
Collaborateur expertise comptable F/H,Paris,Dialogues et Solutions for GMBA,30 k € - 38 k € (fourni par l’employeur),Non noté,"Prendre en charge l’ensemble des missions *en tenue, révision, reporting, conseil, etc*. Conseiller et assister dans le cadre de l’accompagnement global des…&hellip;
Compétences: Logiciel de comptabilité, Comptabilité"
Attaché Commercial Terrain H/F,Avignon,AXENS,40 k € - 60 k € (fourni par l’employeur),Non noté,"Vous interviendrez auprès d’une clientèle très diversifiée (PME-PMI, grands comptes, public comme privé …) en vous appuyant sur des outils innovants de…&hellip;
Compétences: Vente, Bureautique"
Acheteur - Approvisionneur (h/f),Bressuire,Adecco,40 k € - 45 k € (fourni par l’employeur),"3,6","L'utilisation de l’ERP SAGE X3 serait un plus. Mutuelle prise en charge à 75% par l'employeur. Connaissance des processus achats/logistique, maîtrise d’Excel (…&hellip;
Compétences: Sage, Logistique, Anglais, Sens de l'organisation, Négociation"
PREPARATEUR/TRICE DE COMMANDES - H/F,Saint-Georges,E.Leclerc,2 k € (fourni par l’employeur),"3,4","Vous préparez les commandes des clients (mise en bacs des produits commandés à l'aide de la scannette) et assurez leur distribution lors de la livraison (…&hellip;
Compétences: Vente, Réception"
Gestionnaire de paye H/F,Vendres,2PN EXPERTISE COMPTABLE,23 k € - 28 k € (fourni par l’employeur),Non noté,"Bonnes compétences en communication, tant à l'oral qu'à l'écrit. Gérer l'ensemble du processus de paie, y compris la collecte, le traitement et la vérification…&hellip;
Compétences: ADP, Gestion des ressources humaines, Ressources humaines, Recrutement, Paie"
Chargé d'indemnisation AUTO (F/H) - LENS - CDI,Lens,BPCE Assurances IARD,Non renseigné,"4,0","Procéder à l’indemnisation selon le contexte (analyse des contrats et conventions, …). En identifiant des axes d'amélioration et d'optimisation des processus.&hellip;
Compétences: Service client"
Business Developer Entreprise (F/H),Antibes,Oktogone Group,Non renseigné,"3,5","Accès à nos formations pour monter en compétence. Un CE en ligne pour profiter de nombreux bons plans. Fixe + variable selon profil: package moyen (la première…&hellip;
Compétences: Développement commercial"
Opérateur de production H/F,Strasbourg,EURO T.V.S,Non renseigné,"3,5","Port de charges : de 5 à 10 kg. Au sein du service production d'une société de traitement de documents, vous serez chargé de la gestion des documents.&hellip;
Compétences: Bureautique"
MASCOTTE F/H - NANTES,Nantes,Sarawak France,"12,50 € Par heure (fourni par l’employeur)","4,7",Sarawak est une société de Marketing Opérationnel qui accompagne depuis plus de 30 ans ses clients (grands groupes industriels) dans la mise en place leurs…&hellip;
Apprenti(e) Management des contrats Export F/H,Le Plessis-Robinson,MBDA France,Non renseigné,"4,5","Intervenez en support des activités de formation à destination des Export Contract Management ; Intervenez en support du suivi des activités opérationnelles.&hellip;
Compétences: Anglais, Microsoft Office"
OPÉRATEUR EN TÉLÉSURVEILLANCE F/H (H/F),Strasbourg,Euro Protection Surveillance,24 k € - 26 k € (fourni par l’employeur),"2,9",Vous êtes à l’aise au téléphone et avec l’outil informatique. 24-26 k € brut annuel fixe + avantages sociaux (selon les pratiques ou dispositions en vigueur au…&hellip;
Area Sales Manager,Télétravail,Nordson,Non renseigné,"3,3","Excellent verbal communication and negotiation skills; Establish order entry forecasts to discuss with management, prioritize and schedule own activities so…&hellip;
Compétences: Microsoft Powerpoint, Microsoft Word, Français, Microsoft Excel, Anglais"
Commercial Service à la Personne Sport et Santé H/F,Auxerre,Groupe Alternance Auxerre,Non renseigné,"2,8","Groupe Alternance - le campus de Auxerre, école supérieure de l'alternance, recherche pour notre entreprise partenaire, spécialisée dans le secteur du service à…&hellip;
Compétences: Service client"
CDI – Ingénieur examens métallographiques / MEB - H/F,Nantes,Naval Group,Non renseigné,"4,0","Nous sommes un acteur international dans l'industrie navale de défense depuis plus de 400 ans, repoussant continuellement les limites pour construire l'avenir.&hellip;
Compétences: Sens de l'organisation"
RESPONSABLE DE LIGNE CONDITIONNEMENT H/F,Bessay,Biscuits Bouvard,Non renseigné,"3,4","Détail de l'offre Informations générales Entité de rattachement Notre Groupe Biscuitier est leader dans son domaine (fabrication de biscuits sucrés,…&hellip;"
Directeur des Soins (H/F),Grenoble,La Mut' - GHM de Grenoble,65 k € - 80 k € (fourni par l’employeur),"3,2","Piloter la déclinaison opérationnelle des projets institutionnels et porter la vision médico-soignante de l’établissement. Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Gestion des risques"
Serveur/Serveuse/Runneuse H/F,Mayenne,LA TAVERNE Table de Caractère,2 k € (fourni par l’employeur),Non noté,"Assurer la propreté des tables et de l'espace de restauration. Prendre les commandes et servir les plats. Nous recherchons un Serveur (H/F) pour rejoindre notre…&hellip;
Compétences: Service client, Anglais, Service en restauration, Services aux visiteurs, Restauration"
Revenue Manager H/F,Rouen,Novotel Rouen Centre Cathédrale et Appart Hôtel Adagio Access Rouen Centre Cathédrale,31 k € (fourni par l’employeur),"3,3","O Vous effectuez des analyses ponctuelles afin de comprendre au mieux l’activité des hôtels, mesurer la performance et des actions mises en place.&hellip;
Compétences: Anglais, Esprit d'analyse, Sens de l'organisation"
CDI - PREPARATEUR INDUSTRIALISATION H/F,Saint-Tropez,Naval Group,Non renseigné,"4,0","Nous sommes un acteur international dans l'industrie navale de défense depuis plus de 400 ans, repoussant continuellement les limites pour construire l'avenir.&hellip;"
Assistant(e) Administrativ(e) Centre Support Client Informatique,Vigny,ADD-ON,24 k € - 28 k € (fourni par l’employeur),Non noté,"Elle joue un rôle central dans l’organisation du support, le suivi des contrats clients, et l’assistance aux équipes techniques.&hellip;
Compétences: Informatique, Service client, Administration des ventes, Microsoft Office, Expérience administrative"
Electricien nautique,Hérault,E-NAV Systems,2 k € (fourni par l’employeur),Non noté,"La maitrise de l'Anglais technique serait un plus. E-NAV Systems est une jeune entreprise qui conçoit et installe des systémes de motorisation éléctrique et de…&hellip;
Compétences: Expérience en mécanique, Anglais, Électricité, Basse tension, Outils manuels"
Technicien contrôle d'accès et GT H/F,Lyon,tempro France,30 k € - 33 k € (fourni par l’employeur),Non noté,"Sens de l'organisation et rigueur dans l'exécution des tâches. Diplôme dans le domaine de la maintenance, de l'électrotechnique ou équivalent.&hellip;
Compétences: Informatique, Expérience en mécanique, Service client, Anglais, Électricité"
Femme de chambre (CDD) H/F,Mouthe,Chez Liadet,"11,65 € - 14,81 € Par heure (fourni par l’employeur)",Non noté,"Respecter les normes d'hygiène et de sécurité en vigueur dans l'établissement. Sens de l'organisation et souci du détail.&hellip;
Compétences: Hôtellerie, Sens de l'organisation, Nettoyage, Compétences en communication"
Serveur H/F,Massieux,Restaurant Maison Germains,Non renseigné,Non noté,"Veiller à la propreté et à l'organisation de la salle ainsi que des espaces de travail. Rejoignez notre équipe pour contribuer à créer des moments inoubliables…&hellip;
Compétences: Hôtellerie, Manipulation des aliments, Service client, Expérience de barista, Anglais"
Agent de service nettoyage H/F,Chambéry,DAVID NETTOYAGE,Non renseigné,Non noté,"Nous recherchons des Agents d'Entretiens (H/F) ainsi que des Laveurs de Vitres (H/F) pour rejoindre notre équipe. Vider les poubelles et remplacer les sacs.&hellip;
Compétences: Sens de l'organisation, Nettoyage"
Opérateur de Production (H/F) d'Abattoir Traditionnel de Volaille,Cahagnes,SAS Senecal,"14,00 € Par heure (fourni par l’employeur)",Non noté,"5% des profits (résultat net) de l'entreprise sont partagés dans l'équipe tous les 4 mois dans le cadre de l'accord d'entreprise en vigueur.&hellip;
Compétences: Français, Service client, Anglais, Maintenance industrielle, Production"
Conseiller(ère) commercial H/F,Chartres,SMV FORMATION,2 k € - 3 k € (fourni par l’employeur),Non noté,"SMV est certifiée Qualiopi, gage de notre engagement qualité au service de nos clients depuis plus de 13 ans. Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Français, Vente, Service client, Anglais, Prospection"
Chargé(e) d’études (H/F),Saint-Léger,SOLESENS,Non renseigné,Non noté,"En lien permanent avec les équipes de terrain, l’équipe administrative et l’équipe commerciale,. Vous maîtrisez le Pack Office, vous êtes à l’aise avec les…&hellip;
Compétences: Schémas, Microsoft Office, Électricité, Bureautique"
Directeur EHPAD H/F,Hyères,CENTRE L'HELIOTROPE,Non renseigné,Non noté,"Directeur d'Ehpad CAFDES obligatoire Débutant accepté Type d'emploi : Temps plein Statut : Cadre Horaires : * Du lundi au vendredi * Travail en journée…&hellip;
Compétences: Expérience en gestion d'équipe, Assistance de vie, Anglais, Expérience en supervision, Leadership"
Serveur en restauration H/F,Sanary,Maison l’en k,2 k € (fourni par l’employeur),Non noté,"Accueil de la clientèle, services, prises de commande, encaissement etc… Type d'emploi : Temps plein, Intérim, CDD Rémunération : 2 000,00€ à 2 200,00€ par…&hellip;
Compétences: Service, Hôtellerie, Service client, Anglais, Service en restauration"
Démonteur automobile,Lapalud,Salavert Auto,2 k € (fourni par l’employeur),Non noté,"Permis de conduire auto (Optionnel). Vous travaillez avec *rigueur*, *autonomie*, et aimez le *travail d’équipe*.&hellip;
Compétences: Mécanique automobile, Port de charges lourdes, Expérience en mécanique, Outils manuels"
GOUVERNANTE GENERALE H/F,Nice,BOSCOLO NICE,3 k € (fourni par l’employeur),"3,4","Vous avez le sens des responsabilités de l’initiative, de l’anticipation et du management, vous êtes une bonne gestionnaire avec un sens du contact client et un…&hellip;
Compétences: Français, Hôtellerie, Expérience en gestion d'équipe, Anglais, Nettoyage"
Vendeur/Vendeuse CHEF RAYON (CDI) H/F MULTIMEDIA - IMAGE - SON - Petit et Gros ménager/Multimé,Le Pont-de-Beauvoisin,DARTY PONT DE BEAUVOISIN,2 k € - 3 k € (fourni par l’employeur),"3,6","Darty est un commerce spécialisé dans l'électroménager, l'image et le multimédia. Vous assurez l'accueil, le conseil et la vente clients dans le cadre…&hellip;
Compétences: Français, Vente, Anglais"
Ingénieur Logiciel - Robotique Mobile,Vaucresson,Axter Automation,Non renseigné,Non noté,"Vous avez le permis B. Motivé, rigoureux et organisé, vous êtes Ingénieur grande école avec une première expérience en industrie et logiciel.&hellip;
Compétences: C++, Linux, Python"
Conducteur SPL Zone Longue,Saint-Julien,TRANSPORTS BRELET,Non renseigné,Non noté,"FCO interne et une formation à l’éco conduite ,. Type de contrat : CDD jusqu'en septembre - remplacement arrêt maladie. Coefficient : 150 M (le plus elevé).&hellip;
Compétences: Conduite de camions, Conduite de véhicule, Expérience de chauffeur-livreur"
Serveur/Serveuse polyvalent(e),Grospierres,Groupe Restoleil,2 k € (fourni par l’employeur),"4,5","Rejoindre Le Groupe Restoleil, c’est bien plus qu’un job : c’est vivre une expérience unique, au sein d’un groupe qui valorise l’humain, la passion, et la…&hellip;
Compétences: Service, Service client"
Shopper - Moissy-Cramayel,Moissy-Cramayel,Picnic,"12,05 € Par heure (fourni par l’employeur)","3,3",Travailler dans différentes zones de l’entrepôt : ambiante ou réfrigérée (nous te fournissons l’équipement nécessaire pour le froid). Tu as au moins 18 ans.&hellip;
Animateur Qualité H/F,Le Mans,MGEN,32 k € - 42 k € (fourni par l’employeur),"3,4","Une rémunération fixe comprise entre 32.000€ et 42.000€ bruts annuels selon l’expérience. Vous possédez minimum de 3 ans d’expérience dans un centre de relation…&hellip;
Compétences: Service client, Esprit d'analyse"
Vendeur épicerie (H/F),Saint-Julien,BioFrais,Non renseigné,"3,3","Les bons produits, les produits de l’épicerie et le non-alimentaire, les produits bio,. Le conseil auprès des clients.&hellip;"
Job Étudiant - Recruteur de Donateurs pour la Croix Rouge Française (H/F) - Nice,Saint-André-de-la-Roche,CAUSE A EFFET,2 k € - 3 k € (fourni par l’employeur),"4,1","CDD de *5 semaines* en temps plein (35h/semaine) ou temps partiel (28h/semaine, 25h/semaine ou 21h/semaine). Deviens *Recruteur de Donateurs* pour Cause à Effet…&hellip;"
contrat d'alternance_Chargé des politiques de services [RATP/RSF/SEM],Paris,RATP EPIC,Non renseigné,"3,8","Pilotage, en liaison avec les différentes parties prenantes au sein de l'entreprise, des évolutions continues et innovations relatives aux métiers d’agents de…&hellip;
Compétences: Microsoft Powerpoint, Service client, Compétences rédactionnelles, Microsoft Office"
Hôte/Hôtesse d'accueil - CDI Temps partiel,Lyon,JOURS DE PRINTEMPS,"12,00 € Par heure (fourni par l’employeur)","3,9","Assurer l'accueil physique des visiteurs : accueillir, informer et diriger (en français et en anglais). Tickets restaurant 8€ / jours travaillés.&hellip;
Compétences: Français, Service client, Anglais, Microsoft Office, Expérience administrative"
CDD CHEF DE BRIGADE RECEPTION,Colmar,James Boutique Hôtel,2 k € (fourni par l’employeur),Non noté,"Vous êtes souriant(e) et vous maîtrisez l’anglais PARFAITEMENT (l'Allemand serait un plus). Gestion des dossiers clients - Autres tâches diverses dans le…&hellip;
Compétences: Hôtellerie, Service client, Anglais, Expérience en supervision, Réception"
Technicien support informatique CDD remplaçant H/F,Auzeville,DIAGAMTER,24 k € - 32 k € (fourni par l’employeur),Non noté,"Ce point représente l’activité principale du poste. Support informatique de l’infrastructure réseau et administration des postes du siège ;&hellip;
Compétences: Microsoft Windows Server, Service client, Windows, Microsoft Office, Services aux visiteurs"
barbiers - coiffeurs,Chessy,For Men,2 k € (fourni par l’employeur),Non noté,"Chez *For Men*, vos savoir, savoir-être et savoir-faire sont récompensés et valorisés. Une Formation complémentaire vous sera proposée dès votre intégration.&hellip;
Compétences: Français, Service client, Coiffure, Anglais"
Acheteur - Approvisionneur (h/f),Bressuire,Adecco,40 k € - 45 k € (fourni par l’employeur),"3,6","L'utilisation de l’ERP SAGE X3 serait un plus. Mutuelle prise en charge à 75% par l'employeur. Connaissance des processus achats/logistique, maîtrise d’Excel (…&hellip;
Compétences: Sage, Logistique, Anglais, Sens de l'organisation, Négociation"
Employé de ménage H/F,Saint-Aubin,VAGUES OCÉANES,"12,29 € Par heure (fourni par l’employeur)",Non noté,"Si vous êtes plein(e) de motivation, alors n'hésitez plus, et envoyez-nous votre candidature par mail.*. Type d'emploi : Temps partiel.&hellip;
Compétences: Nettoyage"
Clerc rédacteur H/F,Grasse,SELAS VLT Notaires,35 k € - 40 k € (fourni par l’employeur),Non noté,"De formation bac+2 minimum en notariat ou juridique, vous justifiez d’une expérience d’au moins 2 ans dans le notariat sur le même type de poste.&hellip;
Compétences: Compétences rédactionnelles, Sens de l'organisation, Compétences en communication"
Parametreur / Configurateur,Labège,ADELYA,28 k € (fourni par l’employeur),Non noté,"Collaboration avec l’assistance technique*. Être le référent technique sur vos projets clients. Configurer la plateforme selon les demandes clients, en lien…&hellip;
Compétences: Français, Informatique, CSS, XML, Git"
Artistes pluridisciplinaires H/F,Diémoz,Adventure Group,Non renseigné,"3,6","Le Bois des Lutins®, parc de loisirs nature abrité dans un écrin de verdure de plus de 10 hectares dans l’est Lyonnais est *la Terre de légende du Petit peuple*…&hellip;"
